Cond,Soil,Temp,Soil,Prerinse,Step,
41707.0,0.4007523148148148,???,???,???,???,???,E3/10,C3/30,G3*100,
41707.0,0.4014930555555556,6.0,0.0,0.0,12.3,0.0,E4/10,C4/30,G4*100,
41707.0,0.4022337962962963,5.0,0.0,0.0,11.9,0.0,E5/10,C5/30,G5*100,
41707.0,0.402974537037037,6.0,0.0,0.0,11.9,0.0,E6/10,C6/30,G6*100,
41707.0,0.40371527777777777,6.0,0.0,0.0,11.8,0.0,E7/10,C7/30,G7*100,
41707.0,0.4044560185185185,5.0,0.0,0.0,11.8,0.0,E8/10,C8/30,G8*100,
41707.0,0.4051967592592593,5.0,0.0,0.0,11.8,0.0,E9/10,C9/30,G9*100,
41707.0,0.4059375,5.0,0.0,0.0,11.8,0.0,E10/10,C10/30,G10*100,
41707.0,0.40667824074074077,5.0,0.0,0.0,11.8,0.0,E11/10,C11/30,G11*100,
41707.0,0.4074189814814815,5.0,0.0,0.0,11.9,0.0,E12/10,C12/30,G12*100,
41707.0,0.4081597222222222,5.0,0.0,0.0,11.8,0.0,E13/10,C13/30,G13*100,
41707.0,0.40890046296296295,20.0,0.0,0.0,40.1,0.0,E14/10,C14/30,G14*100,
41707.0,0.40964120370370366,40.0,0.0,0.0,43.7,0.0,E15/10,C15/30,G15*100,
41707.0,0.4103819444444445,58.0,0.0,0.0,41.7,0.0,E16/10,C16/30,G16*100,
41707.0,0.4111226851851852,101.0,0.0,0.0,40.0,0.0,E17/10,C17/30,G17*100,
41707.0,0.41186342592592595,56.0,0.0,0.0,41.3,0.0,E18/10,C18/30,G18*100,
41707.0,0.41260416666666666,320.0,0.46,0.0,40.7,0.0,E19/10,C19/30,G19*100,
41707.0,0.4133449074074074,530.0,0.98,0.0,36.7,0.0,E20/10,C20/30,G20*100,
41707.0,0.41408564814814813,514.0,1.19,0.0,37.3,0.0,E21/10,C21/30,G21*100,
41707.0,0.41482638888888884,496.0,1.25,0.0,37.8,0.0,E22/10,C22/30,G22*100,
41707.0,0.41556712962962966,424.0,1.06,0.0,38.1,0.0,E23/10,C23/30,G23*100,
41707.0,0.41630787037037037,363.0,0.86,0.0,38.3,0.0,E24/10,C24/30,G24*100,
41707.0,0.41704861111111113,328.0,0.75,0.0,38.9,0.0,E25/10,C25/30,G25*100,
41707.0,0.41778935185185184,310.0,0.66,0.0,39.9,0.0,E26/10,C26/30,G26*100,
